IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,361,1.75
47.236.118.216,2096,0,true,SIN,Asia Pacific,Singapore,290,1.75
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,317,1.75
47.237.11.182,2052,0,false,SIN,Asia Pacific,Singapore,284,1.75
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,296,1.74
47.237.92.26,8880,0,false,SIN,Asia Pacific,Singapore,276,1.74
8.222.156.242,2095,2095,false,SIN,Asia Pacific,Singapore,315,1.74
47.237.84.173,8880,0,false,SIN,Asia Pacific,Singapore,291,1.74
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,294,1.72
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,405,1.72
47.236.80.110,8080,0,false,SIN,Asia Pacific,Singapore,284,1.72
47.236.165.25,2087,0,true,SIN,Asia Pacific,Singapore,360,1.72
47.236.144.208,8080,0,false,SIN,Asia Pacific,Singapore,294,1.71
8.219.139.13,8880,8880,false,SIN,Asia Pacific,Singapore,359,1.71
8.219.49.65,8880,8880,false,SIN,Asia Pacific,Singapore,303,1.70
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,318,1.70
47.236.150.13,2082,0,false,SIN,Asia Pacific,Singapore,280,1.70
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,354,1.70
47.237.95.146,2096,0,true,SIN,Asia Pacific,Singapore,404,1.70
47.236.189.92,8080,0,false,SIN,Asia Pacific,Singapore,296,1.70
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,402,1.67
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,285,1.67
47.236.149.107,8080,0,false,SIN,Asia Pacific,Singapore,292,1.67
47.237.14.220,8080,0,false,SIN,Asia Pacific,Singapore,286,1.66
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,361,1.66
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,352,1.66
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,298,1.65
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,295,1.64
47.237.95.13,2086,0,false,SIN,Asia Pacific,Singapore,283,1.64
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,291,1.64
47.236.170.54,8080,8080,false,SIN,Asia Pacific,Singapore,350,1.63
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,404,1.63
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,300,1.63
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,407,1.63
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,290,1.62
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,318,1.62
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,355,1.62
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,320,1.62
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,318,1.62
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,296,1.62
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,357,1.61
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,320,1.61
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,315,1.61
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,289,1.61
8.222.156.242,8080,8080,false,SIN,Asia Pacific,Singapore,303,1.61
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,298,1.61
47.236.5.223,2052,0,false,SIN,Asia Pacific,Singapore,295,1.60
47.237.86.185,2053,0,true,SIN,Asia Pacific,Singapore,355,1.60
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,286,1.60
47.236.180.24,2095,0,false,SIN,Asia Pacific,Singapore,310,1.60
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,320,1.60
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,405,1.59
47.236.75.152,8880,8880,false,SIN,Asia Pacific,Singapore,303,1.59
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,351,1.59
47.237.100.206,2052,2052,false,SIN,Asia Pacific,Singapore,317,1.59
8.222.156.242,2086,2086,false,SIN,Asia Pacific,Singapore,359,1.59
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,294,1.58
47.236.170.225,2096,0,true,SIN,Asia Pacific,Singapore,297,1.58
47.236.189.92,2086,2086,false,SIN,Asia Pacific,Singapore,307,1.58
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,296,1.57
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,291,1.57
47.237.95.146,8080,8080,false,SIN,Asia Pacific,Singapore,359,1.57
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,308,1.56
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,405,1.56
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,361,1.56
47.236.202.91,8080,8080,false,SIN,Asia Pacific,Singapore,354,1.56
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,290,1.56
47.236.180.24,80,0,false,SIN,Asia Pacific,Singapore,322,1.56
47.237.125.8,2083,0,true,SIN,Asia Pacific,Singapore,404,1.56
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,300,1.55
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,354,1.55
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,354,1.55
47.236.170.54,80,80,false,SIN,Asia Pacific,Singapore,318,1.55
8.222.183.242,2095,0,false,SIN,Asia Pacific,Singapore,312,1.54
47.236.237.90,80,80,false,SIN,Asia Pacific,Singapore,358,1.54
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,283,1.53
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,359,1.53
47.237.14.220,2053,0,true,SIN,Asia Pacific,Singapore,352,1.52
47.236.145.85,2096,0,true,SIN,Asia Pacific,Singapore,301,1.52
47.236.174.206,8080,8080,false,SIN,Asia Pacific,Singapore,317,1.52
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,354,1.50
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,286,1.50
8.219.60.54,2096,2096,true,SIN,Asia Pacific,Singapore,308,1.50
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,286,1.50
47.236.146.249,443,0,true,SIN,Asia Pacific,Singapore,291,1.50
47.237.94.140,2095,0,false,SIN,Asia Pacific,Singapore,293,1.49
8.219.49.65,2096,0,true,SIN,Asia Pacific,Singapore,310,1.49
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,299,1.49
8.222.183.242,8880,8880,false,SIN,Asia Pacific,Singapore,402,1.49
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,318,1.48
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,301,1.48
47.236.97.90,2052,2052,false,SIN,Asia Pacific,Singapore,350,1.48
47.237.10.1,2053,0,true,SIN,Asia Pacific,Singapore,302,1.48
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,282,1.48
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,318,1.47
8.219.189.143,8880,8880,false,SIN,Asia Pacific,Singapore,295,1.47
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,321,1.47
8.219.50.180,2095,2095,false,SIN,Asia Pacific,Singapore,404,1.47
8.219.202.130,80,80,false,SIN,Asia Pacific,Singapore,359,1.46
47.236.172.95,2095,2095,false,SIN,Asia Pacific,Singapore,405,1.45
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,321,1.45
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,302,1.45
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,320,1.45
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,405,1.44
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,285,1.44
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,292,1.44
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,318,1.44
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,321,1.43
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,320,1.43
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,309,1.43
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,291,1.43
8.219.49.65,2052,2052,false,SIN,Asia Pacific,Singapore,321,1.43
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,359,1.43
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,533,1.43
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,319,1.42
47.237.83.20,2053,0,true,SIN,Asia Pacific,Singapore,302,1.42
47.245.114.163,8880,8880,false,SIN,Asia Pacific,Singapore,352,1.41
47.237.95.146,8443,0,true,SIN,Asia Pacific,Singapore,321,1.41
8.222.179.231,80,80,false,SIN,Asia Pacific,Singapore,290,1.41
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,318,1.41
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,403,1.41
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,287,1.40
8.222.183.242,2053,0,true,SIN,Asia Pacific,Singapore,359,1.39
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,314,1.39
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,291,1.38
47.237.95.140,8080,8080,false,SIN,Asia Pacific,Singapore,306,1.38
8.222.179.231,2095,2095,false,SIN,Asia Pacific,Singapore,292,1.37
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,361,1.37
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,352,1.37
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,318,1.36
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,407,1.35
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,403,1.35
47.237.121.38,2095,2095,false,SIN,Asia Pacific,Singapore,303,1.35
47.237.14.220,2052,2052,false,SIN,Asia Pacific,Singapore,402,1.35
47.236.167.231,2082,0,false,SIN,Asia Pacific,Singapore,407,1.35
47.245.102.52,2095,2095,false,SIN,Asia Pacific,Singapore,289,1.34
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,355,1.33
47.245.105.224,8880,8880,false,SIN,Asia Pacific,Singapore,354,1.33
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,317,1.33
47.236.118.216,2086,2086,false,SIN,Asia Pacific,Singapore,351,1.33
8.222.244.192,8080,8080,false,SIN,Asia Pacific,Singapore,294,1.32
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,405,1.32
8.219.189.143,2095,2095,false,SIN,Asia Pacific,Singapore,303,1.31
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,318,1.31
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,359,1.30
8.219.189.143,2086,2086,false,SIN,Asia Pacific,Singapore,321,1.30
47.236.189.92,8880,8880,false,SIN,Asia Pacific,Singapore,321,1.30
8.219.87.30,8880,0,false,SIN,Asia Pacific,Singapore,408,1.30
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,320,1.28
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,403,1.27
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,402,1.27
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,283,1.26
8.219.49.65,2053,0,true,SIN,Asia Pacific,Singapore,312,1.26
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,297,1.25
47.236.166.131,2052,2052,false,SIN,Asia Pacific,Singapore,280,1.24
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,285,1.23
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,352,1.23
47.236.232.148,2095,0,false,SIN,Asia Pacific,Singapore,283,1.22
47.236.10.182,2087,0,true,SIN,Asia Pacific,Singapore,354,1.21
8.222.183.242,8443,0,true,SIN,Asia Pacific,Singapore,405,1.20
47.236.5.223,2096,0,true,SIN,Asia Pacific,Singapore,402,1.17
8.219.49.65,8443,0,true,SIN,Asia Pacific,Singapore,351,1.15
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,291,1.14
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,301,1.11
47.245.114.163,2053,0,true,SIN,Asia Pacific,Singapore,352,1.11
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,277,1.10
47.236.237.90,2087,0,true,SIN,Asia Pacific,Singapore,352,1.09
47.237.82.15,2053,0,true,SIN,Asia Pacific,Singapore,290,1.06
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,438,1.06
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,301,1.05
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,354,1.05
47.245.84.124,2096,0,true,SIN,Asia Pacific,Singapore,404,1.04
47.236.97.90,8443,0,true,SIN,Asia Pacific,Singapore,314,1.03
47.236.202.91,2083,0,true,SIN,Asia Pacific,Singapore,357,1.01
47.237.11.182,2096,0,true,SIN,Asia Pacific,Singapore,277,1.00
47.237.94.140,2083,0,true,SIN,Asia Pacific,Singapore,318,0.99
8.219.67.133,2096,0,true,SIN,Asia Pacific,Singapore,283,0.97
47.236.205.188,2053,2053,true,SIN,Asia Pacific,Singapore,408,0.97
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,287,0.97
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,318,0.97
47.237.11.182,8080,0,false,SIN,Asia Pacific,Singapore,310,0.95
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,294,0.94
